Id,Predicted
1,6138
2,3409
3,6492
4,6275
5,8297
6,6650
7,1130
8,9794
9,476
10,9390
11,608
12,1624
13,5771
14,4897
15,5565
16,527
17,4450
18,9974
19,391
20,5130
21,8288
22,25
23,7022
24,8704
25,8250
26,7275
27,3375
28,8739
29,4467
30,4652
31,3167
32,2862
33,3152
34,9953
35,7487
36,151
37,3936
38,1561
39,9218
40,8757
41,9238
42,3833
43,7795
44,2989
45,6156
46,5597
47,1281
48,9464
49,4440
50,8329
51,3064
52,1420
53,3085
54,7114
55,5970
56,8327
57,6455
58,7482
59,4974
60,1379
61,9135
62,285
63,1380
64,1698
65,5854
66,4575
67,4986
68,5617
69,1509
70,2136
71,1663
72,4010
73,6898
74,4253
75,3761
76,9468
77,7977
78,6451
79,1655
80,1260
81,4925
82,5948
83,8479
84,6566
85,8824
86,7180
87,8930
88,4908
89,9287
90,9327
91,9956
92,1896
93,5057
94,757
95,1416
96,1769
97,9353
98,429
99,3220
100,6958
101,7015
102,4532
103,5151
104,5004
105,6749
106,8621
107,450
108,5396
109,7505
110,1491
111,1498
112,2856
113,5588
114,934
115,5589
116,8618
117,9153
118,8429
119,3172
120,6403
121,4114
122,4191
123,8704
124,5684
125,6082
126,5517
127,4565
128,3912
129,2981
130,4472
131,6941
132,5677
133,3816
134,5209
135,7840
136,5144
137,9176
138,1207
139,8670
140,8654
141,4027
142,5181
143,3804
144,256
145,1029
146,9075
147,7487
148,4149
149,6768
150,9100
151,7125
152,536
153,6455
154,7263
155,7249
156,6026
157,7302
158,3066
159,4345
160,6721
161,5524
162,9065
163,7487
164,3759
165,198
166,2378
167,277
168,3129
169,9186
170,4841
171,9588
172,5645
173,3450
174,4614
175,5181
176,6958
177,8164
178,5050
179,7736
180,6135
181,4822
182,6882
183,6960
184,7836
185,8897
186,4296
187,3172
188,5646
189,113
190,7779
191,6128
192,2205
193,8696
194,6805
195,2757
196,7672
197,2336
198,7448
199,7794
200,6566
201,4947
202,8839
203,4991
204,9623
205,3768
206,7697
207,4841
208,6615
209,7226
210,1613
211,5713
212,7952
213,8019
214,2692
215,7909
216,7470
217,1611
218,8534
219,6785
220,4354
221,6463
222,27
223,1590
224,5857
225,5246
226,316
227,1017
228,3780
229,316
230,8097
231,2875
232,662
233,5777
234,9467
235,1210
236,1518
237,2418
238,7689
239,8136
240,2590
241,7918
242,2688
243,6142
244,3408
245,115
246,1522
247,4234
248,6805
249,7743
250,4516
251,5621
252,8967
253,3174
254,2341
255,6469
256,699
257,5712
258,7952
259,7907
260,340
261,5497
262,6763
263,6599
264,3368
265,1052
266,1665
267,8273
268,7209
269,2465
270,5519
271,6183
272,1257
273,3366
274,8061
275,6022
276,9963
277,5248
278,5342
279,6703
280,827
281,8599
282,6285
283,1387
284,4054
285,9638
286,391
287,5930
288,2081
289,3234
290,933
291,1184
292,4335
293,9135
294,8230
295,800
296,4841
297,6156
298,9139
299,3754
300,2995
301,5121
302,6762
303,6460
304,4645
305,7957
306,6281
307,6424
308,5211
309,2261
310,290
311,6006
312,3708
313,5588
314,9623
315,1291
316,214
317,2308
318,5588
319,8381
320,3854
321,4977
322,985
323,3767
324,6696
325,2295
326,5046
327,7573
328,9199
329,8087
330,1484
331,3378
332,8878
333,8134
334,7894
335,6068
336,5968
337,9789
338,7170
339,9138
340,1973
341,2986
342,2313
343,7959
344,7968
345,4429
346,414
347,130
348,984
349,7775
350,5994
351,5395
352,5965
353,476
354,2351
355,1758
356,1510
357,3679
358,7120
359,4974
360,8478
361,3377
362,3097
363,3729
364,9552
365,3032
366,8012
367,2000
368,9312
369,4480
370,7699
371,5588
372,1899
373,5258
374,4907
375,8176
376,3729
