Id,Predicted
1,5523
2,6596
3,6492
4,7717
5,8297
6,6650
7,9437
8,1650
9,476
10,6492
11,8739
12,1624
13,1071
14,4897
15,5565
16,3574
17,1896
18,9974
19,4027
20,1113
21,6191
22,25
23,7647
24,8704
25,1463
26,4106
27,4185
28,8739
29,4966
30,2491
31,6898
32,3743
33,3152
34,1463
35,5076
36,6911
37,4054
38,1561
39,9218
40,3989
41,6652
42,3833
43,7362
44,2989
45,6156
46,7717
47,1281
48,4106
49,1808
50,8329
51,4267
52,1420
53,3085
54,9171
55,9148
56,4562
57,6455
58,1507
59,4974
60,2081
61,9135
62,6024
63,7362
64,8152
65,5519
66,4575
67,3658
68,9831
69,1509
70,2136
71,6224
72,6073
73,6898
74,4267
75,5523
76,5523
77,6354
78,4185
79,7368
80,3607
81,4925
82,3082
83,8479
84,1966
85,9911
86,1760
87,8930
88,3025
89,9646
90,2038
91,9956
92,4562
93,4185
94,5004
95,1416
96,1769
97,9353
98,5424
99,3220
100,6958
101,7362
102,7362
103,4267
104,5098
105,4267
106,1113
107,450
108,5396
109,7505
110,2481
111,4185
112,3097
113,5588
114,934
115,1350
116,9605
117,503
118,8429
119,1628
120,6354
121,5396
122,319
123,8704
124,6455
125,4612
126,6703
127,5857
128,3912
129,5424
130,4185
131,7482
132,1416
133,3128
134,5004
135,319
136,495
137,8704
138,4795
139,3574
140,8654
141,4027
142,5181
143,3688
144,256
145,319
146,2203
147,7487
148,1781
149,3601
150,5904
151,7125
152,536
153,5136
154,9902
155,4667
156,3450
157,7226
158,7482
159,4335
160,9505
161,5524
162,9065
163,7487
164,9398
165,7368
166,1350
167,3128
168,4267
169,4974
170,4841
171,5968
172,3472
173,5688
174,9148
175,5181
176,3989
177,9398
178,4267
179,8576
180,6135
181,4185
182,3755
183,3743
184,9592
185,8897
186,4562
187,5801
188,5238
189,4267
190,6703
191,5140
192,6180
193,6558
194,5238
195,2876
196,6024
197,7362
198,7448
199,1416
200,6566
201,9911
202,8839
203,5424
204,6648
205,3768
206,8363
207,4841
208,6428
209,3936
210,7607
211,1510
212,7952
213,8019
214,6898
215,9592
216,933
217,6306
218,7036
219,4335
220,5149
221,1628
222,177
223,1590
224,5857
225,5246
226,3082
227,9911
228,5993
229,9100
230,7487
231,7607
232,4106
233,7487
234,3023
235,9218
236,1628
237,9418
238,1113
239,2164
240,9911
241,3743
242,2203
243,9911
244,7076
245,115
246,7036
247,4974
248,3007
249,7743
250,8326
251,4667
252,7362
253,4027
254,2341
255,1590
256,7802
257,9592
258,7952
259,4667
260,5238
261,5968
262,933
263,4267
264,3729
265,2579
266,3936
267,7368
268,6882
269,1698
270,5519
271,6183
272,934
273,3366
274,4185
275,4966
276,1523
277,1698
278,3389
279,6703
280,3082
281,1868
282,6285
283,2839
284,2844
285,9950
286,4562
287,9248
288,2081
289,3234
290,933
291,1184
292,2989
293,4232
294,8230
295,6455
296,4841
297,6156
298,1588
299,6898
300,6650
301,7639
302,5807
303,5857
304,4612
305,7957
306,7036
307,7607
308,7362
309,6024
310,1669
311,6006
312,9605
313,2000
314,7368
315,1291
316,214
317,4185
318,5588
319,2552
320,3854
321,4232
322,821
323,3989
324,8642
325,1113
326,5046
327,5891
328,6073
329,8599
330,1484
331,6354
332,8878
333,7254
334,7894
335,7796
336,5968
337,6073
338,4562
339,3082
340,8494
341,2986
342,5238
343,8791
344,1747
345,9778
346,4562
347,7368
348,4814
349,7775
350,3023
351,2876
352,1382
353,4054
354,4948
355,883
356,207
357,5778
358,6354
359,4974
360,4769
361,3377
362,3097
363,1935
364,8363
365,5517
366,4974
367,2000
368,7482
369,4185
370,6428
371,5588
372,4974
373,5258
374,6455
375,8176
376,3989
377,5955
378,6636
379,3933
380,4612
381,404
382,6073
383,1353
384,8363
385,9592
386,1350
387,3995
388,8312
389,8291
390,4185
391,1868
392,1113
393,5809
394,9778
395,6700
396,4948
397,9259
398,207
399,7036
400,8494
401,5205
402,2873
403,9607
404,7362
405,5519
406,3082
407,9889
408,3574
409,1628
410,1669
411,7362
412,1516
413,2038
414,3220
415,2203
416,4267
417,7036
418,7650
419,440
420,4232
421,325
422,6111
423,4795
424,3849
425,3574
426,5778
427,2203
428,2203
429,1171
430,4562
431,3171
432,5968
433,1063
434,2989
435,3951
436,4267
437,5747
438,3989
439,8931
440,8666
441,4267
442,1473
443,5524
444,1197
445,169
446,4562
447,6372
448,5628
449,4054
450,3082
451,3439
452,5046
453,6762
454,1382
455,8363
456,3128
457,7362
458,8654
459,3128
460,5140
461,7647
462,7368
463,4612
464,1484
465,6636
466,1416
467,6211
468,2203
469,5238
470,5004
471,3849
472,1064
473,8865
474,3989
475,7995
476,9472
477,8872
478,9193
479,1935
480,8872
481,7295
482,7935
483,7362
484,3007
485,883
486,325
487,2760
488,933
489,1628
490,1450
491,3658
492,1171
493,8946
494,3634
495,6566
496,1473
497,1450
498,6596
499,6650
500,4795
501,5953
502,2686
503,6898
504,5140
505,1450
506,6330
507,932
508,9935
509,8599
510,4974
511,5519
512,7996
513,2264
514,9568
515,1510
516,2296
517,1071
518,8834
519,2844
520,6898
521,3729
522,7362
523,2802
524,9148
525,8654
526,9911
527,1523
528,6177
529,9778
530,4185
531,1049
532,8640
533,6455
534,8654
535,4487
536,4365
537,1509
538,4858
539,9911
540,4858
541,1669
542,5778
543,4054
544,3779
545,9745
546,4267
547,3439
548,4758
549,9331
550,3601
551,2164
552,8104
553,3688
554,823
555,1650
556,6150
557,1171
558,5857
559,1473
560,2983
561,5247
562,7362
