Id,Predicted
1,2021
2,3409
3,6492
4,5857
5,8297
6,7209
7,1698
8,1896
9,476
10,9759
11,3890
12,1624
13,1071
14,4897
15,5565
16,5857
17,9911
18,1698
19,391
20,4185
21,7036
22,8995
23,5363
24,8704
25,8250
26,9193
27,5227
28,8739
29,3729
30,2491
31,2363
32,539
33,4185
34,8363
35,7487
36,151
37,5393
38,1561
39,9218
40,3989
41,2586
42,5568
43,8683
44,2989
45,6156
46,5597
47,266
48,9592
49,4974
50,8329
51,5778
52,1420
53,3085
54,3729
55,5642
56,2172
57,6455
58,1507
59,4974
60,8872
61,5461
62,7478
63,9051
64,1698
65,5519
66,3729
67,7537
68,1896
69,1509
70,2136
71,5403
72,4578
73,6898
74,4562
75,3761
76,4267
77,6354
78,4539
79,4267
80,6703
81,4925
82,4106
83,8479
84,2586
85,5519
86,4925
87,8930
88,4185
89,4185
90,319
91,9956
92,1896
93,7036
94,5517
95,1416
96,1769
97,9353
98,5424
99,3220
100,6958
101,1171
102,9398
103,4267
104,5004
105,2586
106,1171
107,450
108,5396
109,7505
110,2481
111,7479
112,2686
113,5588
114,6751
115,5393
116,7994
117,6073
118,8429
119,8363
120,4185
121,5424
122,319
123,7125
124,5684
125,7482
126,5517
127,4565
128,3912
129,61
130,6295
131,7482
132,539
133,4974
134,7866
135,7537
136,9243
137,8704
138,3890
139,2369
140,8654
141,4027
142,4267
143,6428
144,256
145,319
146,2203
147,4185
148,7125
149,5424
150,572
151,7125
152,536
153,6455
154,5424
155,7693
156,6026
157,438
158,3066
159,1516
160,9505
161,4106
162,6073
163,7487
164,9902
165,5424
166,9073
167,6652
168,7505
169,4974
170,5519
171,4185
172,1171
173,7537
174,1633
175,1171
176,887
177,4621
178,8268
179,8363
180,6135
181,5588
182,6882
183,8363
184,4185
185,8897
186,1698
187,8704
188,7936
189,4267
190,319
191,5804
192,3220
193,4185
194,4612
195,5628
196,3729
197,4267
198,7448
199,1416
200,4267
201,1698
202,1698
203,6073
204,9623
205,3768
206,8363
207,5519
208,4185
209,7226
210,1613
211,5713
212,7952
213,8019
214,6428
215,5461
216,503
217,8144
218,7736
219,6073
220,7419
221,5986
222,27
223,9911
224,5778
225,5246
226,4974
227,1017
228,9909
229,7505
230,6073
231,2875
232,6064
233,8872
234,4562
235,1210
236,6428
237,7036
238,9073
239,7936
240,2590
241,3743
242,2688
243,1896
244,3729
245,115
246,2586
247,3743
248,6428
249,7743
250,8326
251,3989
252,6455
253,6841
254,2341
255,4621
256,7802
257,3936
258,7952
259,7907
260,340
261,1896
262,1509
263,319
264,3729
265,6455
266,6073
267,6354
268,7209
269,3574
270,5519
271,6183
272,1698
273,3366
274,6177
275,3414
276,1523
277,5641
278,4106
279,6703
280,4185
281,2586
282,3220
283,1387
284,4974
285,4267
286,4562
287,5930
288,2081
289,3234
290,933
291,1184
292,1171
293,5882
294,3989
295,2876
296,5519
297,6156
298,325
299,4106
300,3558
301,7639
302,6648
303,325
304,6841
305,7957
306,4185
307,7482
308,1896
309,6024
310,1628
311,6006
312,5140
313,1896
314,5424
315,1291
316,9287
317,1171
318,5588
319,5424
320,3854
321,4185
322,985
323,3989
324,4267
325,4612
326,319
327,3779
328,4974
329,2686
330,1484
331,6354
332,3220
333,8134
334,7894
335,839
336,8432
337,7036
338,4562
339,9585
340,6024
341,2986
342,6805
343,7959
344,579
345,4429
346,4562
347,3097
348,4679
349,7775
350,4562
351,4562
352,5965
353,3695
354,4232
355,1758
356,1510
357,5778
358,6354
359,4974
360,6128
361,4925
362,8363
363,1935
364,8363
365,5517
366,8974
367,2000
368,9312
369,6073
370,5517
371,5588
372,4974
373,5258
374,4267
375,8176
376,3729
377,3097
378,6558
379,266
380,5938
381,4562
382,4578
383,7505
384,5517
385,1966
386,9048
387,5286
388,5125
389,319
390,4185
391,2306
392,4974
393,4185
394,1090
395,9048
396,4974
397,6073
398,8077
399,5004
400,5461
401,4974
402,2873
403,7537
404,5424
405,5519
406,9592
407,9889
408,8654
409,1628
410,2876
411,1896
412,1516
413,2038
414,5517
415,4974
416,2586
417,8363
418,9014
419,2593
420,6428
421,3779
422,934
423,1171
424,3849
425,3574
426,5424
427,4716
428,1946
429,4354
430,1628
431,1698
432,4185
433,4185
434,3890
435,3951
436,6596
437,5747
438,6073
439,3082
440,8666
441,4185
442,182
443,5393
444,1148
445,9437
446,3082
447,6372
448,5614
449,7482
450,3082
451,3439
452,5046
453,5424
454,8130
455,8363
456,4612
457,5424
458,8654
459,5140
460,1350
461,5517
462,3097
463,503
464,1484
465,6911
466,4185
467,3234
468,5388
469,4054
470,3220
471,7537
472,1064
473,8865
474,6428
475,7995
476,1669
477,3729
478,4185
479,4974
480,3738
481,7295
482,6177
483,4741
484,5778
485,1896
486,4922
487,2760
488,933
489,8363
490,3220
491,6898
492,9073
493,4935
494,3634
495,3533
